serial,id,division,district,upazilaBangla,2019,2020
225,226,খুলনা,ঝিনাইদহ,হরিণাকুন্ডু,0.0,0.0
226,227,খুলনা,ঝিনাইদহ,কালীগঞ্জ,179.0,0.0
227,228,খুলনা,ঝিনাইদহ,কোটচাঁদপুর,7.0,0.0
228,229,খুলনা,ঝিনাইদহ,মহেশপুর,10.0,0.0
229,230,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,31.0,0.0
230,231,বরিশাল,ঝালকাঠি,কাঠালিয়া,0.0,0.0
231,232,বরিশাল,ঝালকাঠি,নলছিটি,18.0,0.0
232,233,বরিশাল,ঝালকাঠি,রাজাপুর,87.0,0.0
233,234,বরিশাল,পটুয়াখালী,বাউফল,40.0,0.0
234,235,বরিশাল,পটুয়াখালী,পটুয়াখালী সদর,123.0,0.0
235,236,বরিশাল,পটুয়াখালী,দুমকি,55.0,0.0
236,237,বরিশাল,পটুয়াখালী,দশমিনা,23.0,0.0
237,238,বরিশাল,পটুয়াখালী,কলাপাড়া,39.0,0.0
238,239,বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,29.0,0.0
239,240,বরিশাল,পটুয়াখালী,গলাচিপা,21.0,0.0
240,241,বরিশাল,পটুয়াখালী,রাঙ্গাবালী,13.0,0.0
241,242,বরিশাল,পিরোজপুর,পিরোজপুর সদর,90.0,0.0
242,243,বরিশাল,পিরোজপুর,নাজিরপুর,27.0,2.0
243,244,বরিশাল,পিরোজপুর,কাউখালী,24.0,0.0
244,245,বরিশাল,পিরোজপুর,জিয়ানগর,0.0,0.0
245,246,বরিশাল,পিরোজপুর,ভান্ডারিয়া,71.0,0.0
246,247,বরিশাল,পিরোজপুর,মঠবাড়ীয়া,0.0,0.0
247,248,বরিশাল,পিরোজপুর,নেছারাবাদ,9.0,0.0
248,249,বরিশাল,বরিশাল,বরিশাল সদর,369.0,0.0
249,250,বরিশাল,বরিশাল,বাকেরগঞ্জ,22.0,0.0
250,251,বরিশাল,বরিশাল,বাবুগঞ্জ,5.0,0.0
251,252,বরিশাল,বরিশাল,উজিরপুর,17.0,0.0
252,253,বরিশাল,বরিশাল,বানারীপাড়া,31.0,0.0
253,254,বরিশাল,বরিশাল,গৌরনদী,108.0,0.0
254,255,বরিশাল,বরিশাল,আগৈলঝাড়া,22.0,0.0
255,256,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,39.0,0.0
256,257,বরিশাল,বরিশাল,মুলাদী,40.0,0.0
257,258,বরিশাল,বরিশাল,হিজলা,6.0,0.0
258,259,বরিশাল,ভোলা,ভোলা সদর,122.0,0.0
259,260,বরিশাল,ভোলা,বোরহান উদ্দিন,28.0,0.0
260,261,বরিশাল,ভোলা,চরফ্যাশন,27.0,0.0
261,262,বরিশাল,ভোলা,দৌলতখান,9.0,0.0
262,263,বরিশাল,ভোলা,মনপুরা,32.0,0.0
